0	3
1	5
10	2
100	12
1000	2
10000	22
10001	29
10002	7
10003	11
10004	12
10005	2
10006	15
10007	5
10008	16
10009	3
1001	10
10010	11
10011	1
10012	6
10013	27
10014	8
10015	22
10016	4
10017	2
10018	8
10019	25
1002	8
10020	6
10021	56
10022	2
10023	5
10024	19
10025	7
10026	30
10027	5
10028	19
10029	17
1003	13
10030	7
10031	9
10032	8
10033	6
10034	2
10035	25
10036	28
10037	17
10038	8
10039	1
1004	1
10040	5
10041	61
10042	14
10043	14
10044	17
10045	19
10046	45
10047	10
10048	16
10049	1
1005	8
10050	2
10051	17
10052	1
10053	54
10054	52
10055	37
10056	3
10057	15
10058	14
10059	1
1006	4
10060	2
10061	9
10062	9
10063	21
10064	20
10065	36
10066	16
10067	30
10068	10
10069	15
1007	21
10070	10
10071	6
10072	19
10073	14
10074	18
10075	9
10076	1
10077	2
10078	5
10079	15
1008	15
10080	6
10081	15
10082	14
10083	4
10084	17
10085	24
10086	7
10087	23
10088	15
10089	1
1009	2
10090	13
10091	1
10092	14
10093	22
10094	13
10095	8
10096	6
10097	3
10098	29
10099	4
101	6
1010	7
10100	8
10101	29
10102	16
10103	7
10104	13
10105	46
10106	1
10107	18
10108	11
10109	4
1011	12
10110	1
10111	15
10112	4
10113	14
10114	12
10115	8
10116	2
10117	6
10118	31
10119	3
1012	5
10120	4
10121	8
10122	8
10123	9
10124	11
10125	6
10126	14
10127	9
10128	29
10129	23
1013	5
10130	14
10131	22
10132	4
10133	1
10134	9
10135	31
10136	10
10137	17
10138	8
10139	10
1014	20
10140	4
10141	2
10142	1
10143	2
10144	10
10145	29
10146	26
10147	1
10148	4
10149	10
1015	9
10150	14
10151	7
10152	3
10153	17
10154	52
10155	1
10156	13
10157	4
10158	1
10159	11
1016	19
10160	20
10161	1
10162	15
10163	13
10164	9
10165	39
10166	69
10167	40
10168	5
10169	22
1017	23
10170	5
10171	2
10172	4
10173	10
10174	7
10175	1
10176	4
10177	12
10178	6
10179	1
1018	3
10180	26
10181	8
10182	5
10183	5
10184	5
10185	30
10186	12
10187	2
